feature,in_full,in_reduced,in_compact,training_mi_attack_family,training_mi_fine_grained,training_skewness,apply_log1p,removed_due_to_redundancy,retained_equivalent_feature
Protocol,True,True,False,0.07967382668659687,0.0888829574144201,3.1135609380619216,True,False,
Flow Duration,True,False,False,0.4607061093559126,0.8962135208821871,-412.93792888820883,False,True,Fwd IAT Total
Total Fwd Packets,True,False,False,0.455980546961924,0.5165731198761403,25.26659403289362,True,True,Fwd Header Length
Total Backward Packets,True,True,True,0.4968806011592741,0.5476773798890475,136.7866629079532,True,False,
Fwd Packets Length Total,True,False,False,0.6491308863301783,0.9662212488116397,25.33994046830765,True,True,Subflow Fwd Bytes
Bwd Packets Length Total,True,False,False,0.616174153797969,0.9253009503071765,138.70107687480532,True,True,Subflow Bwd Bytes
Fwd Packet Length Max,True,True,True,0.6420345923758892,0.9579777651582355,5.307122148834936,True,False,
Fwd Packet Length Min,True,True,False,0.08096639283372364,0.09189516626544725,18.759219044941325,True,False,
Fwd Packet Length Mean,True,True,True,0.6476308086275002,0.9622766649542498,7.080352193149146,True,False,
Fwd Packet Length Std,True,True,True,0.5635087265086247,0.8701759503314819,1.8749291946048205,False,False,
Bwd Packet Length Max,True,True,True,0.6273514776369724,0.9363962734274824,0.0964762985555223,False,False,
Bwd Packet Length Min,True,True,False,0.07891120586727118,0.07984723202806521,4.626675509474877,True,False,
Bwd Packet Length Mean,True,True,True,0.6321922630290506,0.9408286555598242,2.5282952435025567,True,False,
Bwd Packet Length Std,True,True,True,0.5544866930124426,0.8634678658022539,0.006401491274705773,False,False,
Flow Bytes/s,True,True,True,0.35515967418343597,0.6683914214316156,131.6377978986501,True,False,
Flow Packets/s,True,True,True,0.41716759684081595,0.8433017392108495,62.85676258752241,False,False,
Flow IAT Mean,True,True,True,0.43260549750721133,0.8590178970391409,-309.2846240939368,False,False,
Flow IAT Std,True,True,True,0.40100853798150937,0.7234530135148296,311.9257425407882,True,False,
Flow IAT Max,True,False,False,0.4923474560420582,0.9255365841325853,331.21125416498637,True,True,Fwd IAT Max
Flow IAT Min,True,False,False,0.3374094974501263,0.5479862230758235,-322.6381684726209,False,True,Fwd IAT Min
Fwd IAT Total,True,True,True,0.5305157792885773,0.9226634421170556,-412.9378517988983,False,False,
Fwd IAT Mean,True,True,True,0.5323468140023655,0.9206078450884052,-308.3183383720621,False,False,
Fwd IAT Std,True,False,False,0.39527247401245225,0.6191871919232494,311.92597297725945,True,True,Flow IAT Std
Fwd IAT Max,True,True,True,0.528052769264838,0.9068010219209302,331.21103279593,True,False,
Fwd IAT Min,True,True,True,0.40164680591392354,0.7542239281196053,-322.6375340488826,False,False,
Bwd IAT Total,True,True,True,0.3823367555416599,0.6922911434692283,5.638470079756293,True,False,
Bwd IAT Mean,True,True,True,0.3531722937309749,0.6640556034977358,19.424598328904768,True,False,
Bwd IAT Std,True,True,True,0.3438651152099046,0.6525350248358186,9.87223707555889,True,False,
Bwd IAT Max,True,True,True,0.38134751262156796,0.6920341386259974,8.359105412425981,True,False,
Bwd IAT Min,True,True,True,0.4200947347899444,0.48813363148893063,27.35259275956368,True,False,
Fwd PSH Flags,True,True,False,0.011159164999494327,0.013215726449625641,9.184739884180903,True,False,
Fwd Header Length,True,True,True,0.7076537756006891,0.7727994790118555,25.25311537748938,True,False,
Bwd Header Length,True,True,True,0.5627469547535815,0.6152594988487907,136.2877315706164,True,False,
Fwd Packets/s,True,True,True,0.4433206807320944,0.8713478498094263,67.66045150269841,True,False,
Bwd Packets/s,True,True,True,0.4262316293341173,0.7393241160481308,153.01560353227407,True,False,
Packet Length Min,True,True,False,0.07950541412929946,0.08830306163116175,13.464308299121322,True,False,
Packet Length Max,True,True,True,0.4831135393612549,0.8058631780809831,0.786946688553167,False,False,
Packet Length Mean,True,True,True,0.5464980594178228,0.8641733727067236,3.0752617099436272,True,False,
Packet Length Std,True,True,True,0.5538753948028143,0.8682653677780223,0.01588459417917531,False,False,
Packet Length Variance,True,False,False,0.5512895971755658,0.8650241637276173,126.60334588117648,True,True,Packet Length Std
FIN Flag Count,True,True,False,0.001042131755085508,0.0011178593187959169,32.08517057785993,True,False,
SYN Flag Count,True,False,False,0.011159164999494327,0.013215726449625641,9.184739884180903,True,True,Fwd PSH Flags
RST Flag Count,True,False,False,0.1269325131885111,0.16350020822816957,0.2410588477812867,False,True,ECE Flag Count
PSH Flag Count,True,True,False,0.030620857522926384,0.07384078588229298,-0.30199186583174725,False,False,
ACK Flag Count,True,True,False,0.02729417214498118,0.06916474713136109,0.6430108060902169,False,False,
URG Flag Count,True,True,False,0.009240307202255818,0.009958287816753937,10.357655265288543,True,False,
ECE Flag Count,True,True,False,0.12693581431840475,0.16350350935806263,0.24107052635521264,False,False,
Down/Up Ratio,True,True,False,0.04272234788924073,0.07906748228074653,19.04075229954798,True,False,
Avg Packet Size,True,True,True,0.5452519966011169,0.8627169794277625,2.423859966540716,True,False,
Avg Fwd Segment Size,True,False,False,0.6468356249954528,0.9619204907659988,7.080352193149146,True,True,Fwd Packet Length Mean
Avg Bwd Segment Size,True,False,False,0.6316673060702422,0.9407065711262956,2.5282952435025567,True,True,Bwd Packet Length Mean
Subflow Fwd Packets,True,False,False,0.45599068475311566,0.5165490737408935,25.26659403289362,True,True,Fwd Header Length
Subflow Fwd Bytes,True,True,True,0.6495256851760807,0.9665082779165821,25.33994046830765,True,False,
Subflow Bwd Packets,True,False,False,0.49661810212492496,0.5471342203976715,136.7866629079532,True,True,Total Backward Packets
Subflow Bwd Bytes,True,True,True,0.6162176718238499,0.9252775475322348,138.70107735289426,True,False,
Init Fwd Win Bytes,True,True,True,0.5730229318259934,1.0050983120155574,0.9197625429702164,False,False,
Init Bwd Win Bytes,True,True,True,0.4290019054511933,0.7308185149756976,3.392760455847715,False,False,
Fwd Act Data Packets,True,True,False,0.22527398679728594,0.27961252055992825,25.26864991892546,True,False,
Fwd Seg Size Min,True,True,False,0.30054530421243175,0.3167396652253431,0.009237697535023709,False,False,
Active Mean,True,False,False,0.05676024078250763,0.06794562878875299,63.678512181596965,True,True,Active Max
Active Std,True,True,False,0.03695975173808508,0.04068378477880508,33.68972804473395,True,False,
Active Max,True,True,False,0.05700700357768085,0.06763729054483303,39.5928234471677,True,False,
Active Min,True,True,False,0.055770000318384305,0.06628206199795539,76.04527666780814,True,False,
Idle Mean,True,True,False,0.12494042328232458,0.23784365988065703,305.20887478793276,True,False,
Idle Std,True,True,False,0.04002947303279769,0.04390413182617969,316.84518086966403,True,False,
Idle Max,True,False,False,0.13324043272063957,0.2450278748303214,331.2143322177564,True,True,Fwd IAT Max
Idle Min,True,True,False,0.12586664992667007,0.23677682736351535,548.6823950517146,True,False,
