variant,positive_class_weight,threshold_policy,split,best_iteration,tree_count,training_seconds,inference_seconds,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,auroc,aupr,specificity,benign_fpr,attack_fnr,true_negative,false_positive,false_negative,true_positive
unweighted,1.0,maximum_internal_f1,internal_holdout,1013,1013,55.125268898002105,2.0538605570000072,0.388538066759621,0.9999413035684258,0.9999256256756132,0.9998750320230441,0.9998937752283833,0.9998844035378766,0.9998450689049507,0.9999999136505269,0.9999997149338918,0.999957476122843,4.252387715702367e-05,0.00010622477161674102,470304,20,17,160021
unweighted,1.0,maximum_internal_f1,official_validation,1013,1013,55.125268898002105,2.0538605570000072,0.388538066759621,0.9503173138775834,0.5027263944849736,0.5425709515859767,0.005704456496937146,0.011290210519002293,0.0518534349736331,0.4730291533978698,0.06251553947475287,0.99974833247301,0.00025166752698996454,0.9942955435030628,1088464,274,56648,325
unweighted,1.0,maximum_internal_f1,strict_temporal_test,1013,1013,55.125268898002105,2.0538605570000072,0.388538066759621,0.7921998944263058,0.4999855137279153,0.125,3.4669770436591467e-05,6.932031431811092e-05,-0.0015484882209074115,0.8498620262503134,0.8149279548774352,0.9999363576853939,6.364231460604109e-05,0.9999653302295634,769879,49,201898,7
unweighted,1.0,fpr_at_most_1_percent,internal_holdout,1013,1013,55.125268898002105,2.0538605570000072,0.0003232097349864181,0.9925392076299016,0.995000255143263,0.9714521582362617,1.0,0.985519383950317,0.9806824829540121,0.9999999136505269,0.9999997149338918,0.9900005102865259,0.009999489713474115,0.0,465621,4703,0,160038
unweighted,1.0,fpr_at_most_1_percent,official_validation,1013,1013,55.125268898002105,2.0538605570000072,0.0003232097349864181,0.9359210132398136,0.5160850546095814,0.12844036697247707,0.04988327804398575,0.07185840707964601,0.050814157485487274,0.4730291533978698,0.06251553947475287,0.9822868311751771,0.017713168824822868,0.9501167219560143,1069453,19285,54131,2842
unweighted,1.0,fpr_at_most_1_percent,strict_temporal_test,1013,1013,55.125268898002105,2.0538605570000072,0.0003232097349864181,0.9251044160879492,0.8430059296890677,0.9176580947759987,0.7025432753027414,0.7958202423698384,0.7609935919039836,0.8498620262503134,0.8149279548774352,0.9834685840753941,0.016531415924605938,0.2974567246972586,757200,12728,60058,141847
unweighted,1.0,fpr_at_most_0_1_percent,internal_holdout,1013,1013,55.125268898002105,2.0538605570000072,0.0056400623248373935,0.9992543966800029,0.999500344443405,0.9970717970443841,1.0,0.9985337517860151,0.9980357769724235,0.9999999136505269,0.9999997149338918,0.9990006888868099,0.0009993111131900562,0.0,469854,470,0,160038
unweighted,1.0,fpr_at_most_0_1_percent,official_validation,1013,1013,55.125268898002105,2.0538605570000072,0.0056400623248373935,0.9488212996122058,0.5054073667080055,0.2357801080394026,0.013023712986853422,0.024683965402528277,0.044918310600278684,0.4730291533978698,0.06251553947475287,0.9977910204291575,0.002208979570842572,0.9869762870131465,1086333,2405,56231,742
unweighted,1.0,fpr_at_most_0_1_percent,strict_temporal_test,1013,1013,55.125268898002105,2.0538605570000072,0.0056400623248373935,0.9340925858660901,0.8437858298930923,0.9906395034309957,0.6892796116985711,0.8129291536819232,0.793252482854467,0.8498620262503134,0.8149279548774352,0.9982920480876134,0.0017079519123866127,0.3107203883014289,768613,1315,62736,139169
sqrt_weight,1.714299989984941,maximum_internal_f1,internal_holdout,993,993,53.99805474800087,2.002796507000312,0.49149899934571445,0.9999397171783833,0.9999245625786842,0.9998687844440834,0.9998937752283833,0.99988127968008,0.9998408819652488,0.9999998884013271,0.999999639423382,0.9999553499289852,4.465007101487485e-05,0.00010622477161674102,470303,21,17,160021
sqrt_weight,1.714299989984941,maximum_internal_f1,official_validation,993,993,53.99805474800087,2.002796507000312,0.49149899934571445,0.9503077128525431,0.5027130259249349,0.5328947368421053,0.005686904323100416,0.011253712161997881,0.05121605326460262,0.4736184899491192,0.06307634045082383,0.9997391475267695,0.0002608524732304742,0.9943130956768996,1088454,284,56649,324
sqrt_weight,1.714299989984941,maximum_internal_f1,strict_temporal_test,993,993,53.99805474800087,2.002796507000312,0.49149899934571445,0.7922029813764299,0.4999947699652379,0.18032786885245902,5.4481067828929447e-05,0.00010892922571125833,-0.0005356561023330177,0.8502419702725087,0.7972928685678607,0.9999350588626469,6.494113735310315e-05,0.9999455189321711,769878,50,201894,11
sqrt_weight,1.714299989984941,fpr_at_most_1_percent,internal_holdout,993,993,53.99805474800087,2.002796507000312,0.0005225553566157468,0.9925407940199441,0.9950013182401919,0.9714580551171543,1.0,0.9855224183904082,0.9806865124983052,0.9999998884013271,0.999999639423382,0.9900026364803838,0.009997363519616265,0.0,465622,4702,0,160038
sqrt_weight,1.714299989984941,fpr_at_most_1_percent,official_validation,993,993,53.99805474800087,2.002796507000312,0.0005225553566157468,0.9363399670597559,0.5170290583651053,0.13422849548599972,0.05141031716778123,0.07434576236769297,0.05416486142224281,0.4736184899491192,0.06307634045082383,0.9826477995624292,0.01735220043757084,0.9485896828322188,1069846,18892,54044,2929
sqrt_weight,1.714299989984941,fpr_at_most_1_percent,strict_temporal_test,993,993,53.99805474800087,2.002796507000312,0.0005225553566157468,0.9269349775115684,0.8442671985690091,0.928017421785079,0.7028305391149303,0.7998771197546904,0.7671538109134847,0.8502419702725087,0.7972928685678607,0.9857038580230879,0.014296141976912128,0.29716946088506974,758921,11007,60000,141905
sqrt_weight,1.714299989984941,fpr_at_most_0_1_percent,internal_holdout,993,993,53.99805474800087,2.002796507000312,0.006343623097293801,0.999257569460088,0.9995024706372628,0.9970842211506112,1.0,0.9985399820305481,0.9980441191632373,0.9999998884013271,0.999999639423382,0.9990049412745257,0.0009950587254743538,0.0,469856,468,0,160038
sqrt_weight,1.714299989984941,fpr_at_most_0_1_percent,official_validation,993,993,53.99805474800087,2.002796507000312,0.006343623097293801,0.9482033427277908,0.5067705380511782,0.22177892513494485,0.016586804275709546,0.030865205604729398,0.04835765142803376,0.4736184899491192,0.06307634045082383,0.996954271826647,0.0030457281733530014,0.9834131957242904,1085422,3316,56028,945
sqrt_weight,1.714299989984941,fpr_at_most_0_1_percent,strict_temporal_test,993,993,53.99805474800087,2.002796507000312,0.006343623097293801,0.911594893361308,0.7903193714168222,0.9858749015599605,0.5828285579851911,0.7325744629856163,0.71768150445371,0.8502419702725087,0.7972928685678607,0.9978101848484534,0.002189815151546638,0.41717144201480894,768242,1686,84229,117676
full_weight,2.9388244556623686,maximum_internal_f1,internal_holdout,1419,1419,73.99470253799882,2.660646848999022,0.7571648220355721,0.9999397171783833,0.999916317934445,0.9998937725733281,0.9998687811644734,0.9998812767127396,0.9998408793414864,0.999999941404054,0.9999997895932189,0.9999638547044165,3.614529558347012e-05,0.00013121883552656244,470307,17,21,160017
full_weight,2.9388244556623686,maximum_internal_f1,official_validation,1419,1419,73.99470253799882,2.660646848999022,0.7571648220355721,0.9503234236207909,0.5023719851130851,0.5573122529644269,0.0049497130219577695,0.009812279267210634,0.04908189402353914,0.4694453361608599,0.062458215817574374,0.9997942572042126,0.00020574279578741627,0.9950502869780422,1088514,224,56691,282
full_weight,2.9388244556623686,maximum_internal_f1,strict_temporal_test,1419,1419,73.99470253799882,2.660646848999022,0.7571648220355721,0.792206068326554,0.4999821021929544,0.07142857142857142,1.4858473044253485e-05,2.9710765695949928e-05,-0.002209109940012519,0.8479265208821192,0.8032572837490892,0.9999493459128646,5.0654087135420454e-05,0.9999851415269557,769889,39,201902,3
full_weight,2.9388244556623686,fpr_at_most_1_percent,internal_holdout,1419,1419,73.99470253799882,2.660646848999022,0.000457898299841546,0.9925455531900718,0.9950045075309786,0.9714757461893806,1.0,0.9855315218228003,0.9806986013253658,0.999999941404054,0.9999997895932189,0.9900090150619573,0.00999098493804271,0.0,465625,4699,0,160038
full_weight,2.9388244556623686,fpr_at_most_1_percent,official_validation,1419,1419,73.99470253799882,2.660646848999022,0.000457898299841546,0.9358581701668222,0.516476147623039,0.1297251244338819,0.05077843890965896,0.07298736029467416,0.051850218812066695,0.4694453361608599,0.062458215817574374,0.9821738563364188,0.017826143663581137,0.9492215610903411,1069330,19408,54080,2893
full_weight,2.9388244556623686,fpr_at_most_1_percent,strict_temporal_test,1419,1419,73.99470253799882,2.660646848999022,0.000457898299841546,0.9266797896346389,0.8443363466492377,0.9258141475243136,0.703454594982789,0.7994607632058134,0.7662904424511302,0.8479265208821192,0.8032572837490892,0.9852180983156866,0.014781901684313339,0.29654540501721105,758547,11381,59874,142031
full_weight,2.9388244556623686,fpr_at_most_0_1_percent,internal_holdout,1419,1419,73.99470253799882,2.660646848999022,0.00855659689575624,0.9992559830700455,0.9995014075403339,0.997078009058795,1.0,0.9985368668985634,0.9980399480505595,0.999999941404054,0.9999997895932189,0.9990028150806678,0.0009971849193322051,0.0,469855,469,0,160038
full_weight,2.9388244556623686,fpr_at_most_0_1_percent,official_validation,1419,1419,73.99470253799882,2.660646848999022,0.00855659689575624,0.9486572093660618,0.5051962756192495,0.21996974281391832,0.012760430379302476,0.024121570058727893,0.0421233050990157,0.4694453361608599,0.062458215817574374,0.9976321208591966,0.0023678791408033887,0.9872395696206975,1086160,2578,56246,727
full_weight,2.9388244556623686,fpr_at_most_0_1_percent,strict_temporal_test,1419,1419,73.99470253799882,2.660646848999022,0.00855659689575624,0.9114662704394685,0.7892680575700594,0.989191471395398,0.5801986082563582,0.7314019916960635,0.7175117498471114,0.8479265208821192,0.8032572837490892,0.9983375068837606,0.0016624931162394405,0.41980139174364184,768648,1280,84760,117145
